tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0062417,movie,Un épais manteau de sang,Un épais manteau de sang,1,1968,,88,"Crime,Drama",6.1,18
tt0063631,movie,Space Thing,Space Thing,1,1968,,70,"Comedy,Sci-Fi",4.1,309
tt0064929,movie,The Amorous Headmaster,Sangen om den røde rubin,1,1970,,107,"Comedy,Drama",4.6,55
tt0065197,movie,We All Go Down,We All Go Down,1,1969,,73,Drama,4.8,18
tt0065383,movie,All the Lovin' Kinfolk,All the Lovin' Kinfolk,1,1970,,84,"Comedy,Drama",5.3,27
tt0065397,movie,The Adult Workshop of Love,Anatomie des Liebesaktes,1,1970,,90,Adult,6.1,15
tt0065442,movie,Bacchanale,Bacchanale,1,1970,,70,"Adult,Fantasy,Horror",5.9,150
tt0065676,movie,Dirty Lovers,La débauche,1,1971,,110,Drama,5.8,35
tt0065869,movie,Why Do They Do It?,Hvorfor gør de det?,1,1971,,90,"Adult,Documentary",4.8,56
tt0066055,movie,Man & Wife: An Educational Film for Married Adults,Man & Wife: An Educational Film for Married Adults,1,1969,,65,"Adult,Drama",6.5,63
tt0066092,movie,Mona: The Virgin Nymph,Mona: The Virgin Nymph,1,1970,,71,"Adult,Comedy",4.3,208
tt0066357,movie,Nightmares Come at Night,Les cauchemars naissent la nuit,1,1970,,85,"Crime,Drama,Horror",4.9,732
tt0066821,movie,Sabena,Beichte einer Liebestollen,1,1971,,88,"Adult,Comedy",3.9,61
tt0066925,movie,Code Name: Raw-Hide,Code Name: Raw-Hide,1,1971,,,"Adult,Adventure,Comedy",4.3,12
tt0067143,movie,Bordellet,Bordellet,1,1972,,82,"Adult,Comedy",5.0,77
tt0067181,movie,Hard on the Trail,Hard on the Trail,1,1972,,78,"Action,Adult,Western",5.6,15
tt0067218,movie,Hot Circuit,Hot Circuit,1,1971,,83,Adult,5.2,36
tt0067479,movie,'Necromania': A Tale of Weird Love!,'Necromania': A Tale of Weird Love!,1,1971,,54,"Adult,Horror",3.4,564
tt0067533,movie,The Only House in Town,The Only House in Town,1,1971,,54,"Action,Adult,Drama",4.4,98
tt0067821,movie,1001 Danish Delights,Takt og tone i himmelsengen,1,1972,,85,Comedy,4.4,131
tt0068169,movie,An Act of Confession,An Act of Confession,1,1972,,60,Adult,4.8,61
tt0068260,movie,Behind the Green Door,Behind the Green Door,1,1972,,72,"Adult,Drama",5.8,2393
tt0068269,movie,Swingin' Models,Bettkarriere,1,1972,,85,"Adult,Comedy",4.2,58
tt0068468,movie,Deep Throat,Deep Throat,1,1972,,61,"Adult,Comedy",5.0,7138
tt0068533,movie,The Elevator,The Elevator,1,1972,,63,Adult,5.4,21
tt0068740,movie,The Incredible Body Snatchers,The Incredible Body Snatchers,1,1973,,58,Adult,4.2,18
tt0068745,movie,Intime Liebschaften,Intime Liebschaften,1,1980,,93,"Adult,Comedy",6.0,47
tt0068948,movie,Millie's Homecoming,Millie's Homecoming,1,1971,,65,"Adult,Comedy",5.6,66
tt0068987,movie,Voluptuous Vixens,Mädchen mit offenen Lippen,1,1972,,75,Comedy,5.1,57
tt0069236,movie,Score,Score,1,1973,,90,"Adult,Comedy,Drama",5.8,1394
tt0069831,movie,Butterfly,Butterflies,1,1975,,112,"Adult,Drama",5.4,455
tt0069969,movie,The Devil in Miss Jones,The Devil in Miss Jones,1,1973,,67,"Adult,Drama,Fantasy",6.1,1733
tt0070209,movie,Danish Pastries,I Jomfruens tegn,1,1973,,84,"Adult,Comedy",5.3,472
tt0070232,movie,It Happened in Hollywood,It Happened in Hollywood,1,1973,,68,"Adult,Comedy",6.5,69
tt0070410,movie,More Ways Than One!,More Ways Than One!,1,1973,,49,Adult,4.8,17
tt0070602,movie,Resurrection of Eve,Resurrection of Eve,1,1973,,85,"Adult,Drama,Romance",5.4,262
tt0070674,movie,Sex Thief,The Sex Thief,1,1973,,93,Comedy,4.6,431
tt0070696,movie,The Sinful Dwarf,Dværgen,1,1973,,95,"Adult,Crime,Horror",4.9,1693
tt0070803,movie,Tijuana Blue,Tijuana Blue,1,1971,,58,"Adult,Comedy",4.3,53
tt0070817,movie,Tongue,Tongue,1,1976,,80,"Adult,Drama",5.0,43
tt0070879,movie,Bibi,Vild på sex,1,1974,,120,"Drama,Romance",4.9,317
tt0070910,movie,Wam Bam Thank You Spaceman,Wam Bam Thank You Spaceman,1,1975,,75,"Adult,Comedy,Sci-Fi",3.3,715
tt0071103,movie,Perverse Adolescence,Adolescence pervertie,1,1974,,104,"Adult,Drama,Romance",4.8,103
tt0071239,movie,The Infamous House of Madame X,"Le bordel, 1ère époque; 1900",1,1974,,90,Drama,4.1,43
tt0071287,movie,Case of the Full Moon Murders,Case of the Full Moon Murders,1,1973,,65,"Comedy,Horror",4.5,135
tt0071522,movie,Penetration,French Blue,1,1974,,90,"Adult,Documentary",5.9,64
tt0071643,movie,In the Sign of the Taurus,I Tyrens tegn,1,1974,,99,"Adult,Comedy,Romance",5.3,486
tt0071701,movie,Erotic Diary,Le journal érotique d'un bûcheron,1,1973,,101,"Adult,Comedy",4.1,111
tt0071779,movie,Love Lies Waiting,Love Lies Waiting,1,1974,,59,"Adult,Comedy",3.7,15
tt0071980,movie,Voodoo Sexy,Il pavone nero,1,1975,,90,"Adult,Adventure",4.7,91
tt0071990,movie,Perverted Passion,Perverted Passion,1,1974,,62,"Adult,Horror",5.4,42
tt0072013,movie,Second Coming of Eva,Porr i skandalskolan,1,1974,,93,"Adult,Comedy",5.5,243
tt0072035,movie,The Private Afternoons of Pamela Mann,The Private Afternoons of Pamela Mann,1,1974,,83,"Adult,Comedy",6.4,438
tt0072106,movie,Gunfight at OQ Corral,Règlements de femmes à O.Q. Corral,1,1978,,83,"Adult,Western",4.4,58
tt0072146,movie,Naked Sex,Le sexe nu,1,1973,,79,Drama,5.7,31
tt0072188,movie,Sometime Sweet Susan,Sometime Sweet Susan,1,1975,,85,"Adult,Drama",5.7,126
tt0072192,movie,La soubrette perverse,La soubrette perverse,1,1978,,,,4.5,23
tt0072321,movie,Triple Play,Triple Play,1,1971,,57,Adult,3.4,23
tt0072378,movie,Voir Malte et mourir,Voir Malte et mourir,1,1976,,90,Comedy,6.6,8
tt0072647,movie,Angel Number 9,Angel Number 9,1,1974,,75,"Adult,Drama,Fantasy",5.8,124
tt0072678,movie,Les baiseuses,Les baiseuses,1,1972,,85,"Adult,Drama",4.9,29
tt0072736,movie,Breaking Point,Breaking Point,1,1975,,95,"Adult,Thriller",5.8,411
tt0072865,movie,Les deux gouines,Les deux gouines,1,1975,,,Adult,4.3,27
tt0072899,movie,Surrogate Romance,La donneuse,1,1976,,74,"Adult,Drama",4.8,105
tt0072959,movie,Exhibition,Exhibition,1,1975,,110,"Adult,Biography,Documentary",5.6,126
tt0072967,movie,Fanny,Fanny,1,1975,,58,"Adult,Comedy",5.3,18
tt0072974,movie,The Farmer's Daughters,The Farmer's Daughters,1,1976,,60,Adult,4.8,271
tt0072985,movie,Les 69 positions,Les 69 positions,1,1976,,90,Adult,5.3,13
tt0073120,movie,Honey Pie,Honey Pie,1,1976,,84,Adult,6.5,74
tt0073125,movie,House of De Sade,House of De Sade,1,1977,,60,"Adult,Horror",5.3,81
tt0073128,movie,How Sweet It Is!,How Sweet It Is!,1,1978,,64,"Adult,Fantasy",5.5,16
tt0073141,movie,In the Sign of the Gemini,I Tvillingernes tegn,1,1975,,97,"Adult,Comedy,Drama",5.2,360
tt0073173,movie,Inside Marilyn Chambers,Inside Marilyn Chambers,1,1975,,75,"Adult,Biography,Documentary",7.3,72
tt0073222,movie,Justine & Juliette,Justine och Juliette,1,1975,,91,"Adult,Comedy",5.1,262
tt0073264,movie,Ta mej i dalen,Ta mej i dalen,1,1977,,78,"Adult,Comedy,Drama",4.5,81
tt0073356,movie,M*A*S*H'd,M*A*S*H'd,1,1976,,74,Adult,5.5,39
tt0073390,movie,Felicia,Les mille et une perversions de Felicia,1,1975,,96,"Adult,Drama",5.7,332
tt0073431,movie,Come to My Bedside,Der må være en sengekant!,1,1975,,92,"Adult,Comedy",5.0,271
tt0073437,movie,Naked Came the Stranger,Naked Came the Stranger,1,1975,,83,"Adult,Comedy,Drama",6.1,265
tt0073452,movie,Night Caller,Night Caller,1,1976,,75,"Adult,Crime",6.1,56
tt0073472,movie,Nøglehullet,Nøglehullet,1,1974,,85,"Adult,Comedy",4.3,79
tt0073492,movie,Oriental Blue,Oriental Blue,1,1975,,85,"Adult,Crime,Drama",6.2,100
tt0073551,movie,La planque 1,La planque 1,1,1975,,72,,6.3,18
tt0073589,movie,The Image,The Image,1,1975,,89,"Adult,Drama",6.2,1957
tt0073632,movie,Rolls Royce Baby,Rolls Royce Baby,1,1975,,84,"Adult,Comedy",4.5,489
tt0073661,movie,Satan Was a Lady,Satan Was a Lady,1,1975,,70,"Adult,Horror",4.8,107
tt0073682,movie,Sensations,Sensations,1,1975,,86,"Adult,Comedy,Drama",6.1,242
tt0073749,movie,The Teenage Prostitution Racket,Storie di vita e malavita (Racket della prostituzione minorile),1,1975,,123,"Adult,Drama,Thriller",5.7,283
tt0073750,movie,The Story of Joanna,The Story of Joanna,1,1975,,84,"Adult,Drama",5.9,326
tt0073791,movie,Teenage Hustler,Teenage Hustler,1,1976,,64,"Adult,Comedy",5.5,34
tt0073806,movie,Thundercrack!,Thundercrack!,1,1975,,160,"Adult,Comedy,Horror",6.0,942
tt0073823,movie,The True Way,The True Way,1,1973,,55,"Adult,Comedy",5.2,19
tt0073860,movie,The Randy Widow,La veuve lubrique,1,1975,,59,,5.8,10
tt0073928,movie,Zimmermädchen machen es gern,Zimmermädchen machen es gern,1,1975,,85,"Adult,Comedy",5.8,139
tt0074095,movie,The Affairs of Janice,The Affairs of Janice,1,1976,,72,Adult,5.4,65
tt0074113,movie,Alice in Wonderland: An X-Rated Musical Fantasy,Alice in Wonderland: An X-Rated Musical Fantasy,1,1976,,88,"Adult,Comedy,Fantasy",6.2,3246
tt0074196,movie,Bel Ami,Bel Ami,1,1976,,104,"Adult,Comedy",5.0,162
tt0074232,movie,La bonne auberge,La bonne auberge,1,1977,,80,,5.4,21
tt0074265,movie,The French Governess,Calde labbra,1,1976,,97,"Adult,Drama",4.7,73
tt0074269,movie,"Call Me Angel, Sir","Call Me Angel, Sir",1,1976,,73,Adult,4.1,19
tt0074392,movie,Den 'k---' släkten,Den 'k---' släkten,1,1976,,79,"Adult,Comedy",5.1,63
tt0074403,movie,The Devil Inside Her,The Devil Inside Her,1,1977,,69,"Adult,Horror",5.9,258
tt0074427,movie,Under the Sheets,La dottoressa sotto il lenzuolo,1,1976,,86,Comedy,4.7,106
tt0074507,movie,"Expose Me, Lovely","Expose Me, Lovely",1,1976,,90,"Adult,Crime,Mystery",5.7,173
tt0074523,movie,Femmes de Sade,Femmes de Sade,1,1976,,85,"Adult,Crime,Drama",6.2,365
tt0074661,movie,In the Sign of the Lion,I Løvens tegn,1,1976,,93,"Adult,Comedy,Romance",5.5,384
tt0074721,movie,Exquisite Pleasure,Suprêmes jouissances,1,1977,,80,Adult,5.7,131
tt0074788,movie,Let My Puppets Come,Let My Puppets Come,1,1976,,75,"Adult,Comedy,Musical",5.0,307
tt0074803,movie,Liquid Lips,Liquid Lips,1,1976,,73,"Adult,Crime,Drama",5.9,77
tt0074807,movie,Little Orphan Dusty,Little Orphan Dusty,1,1978,,84,"Adult,Crime,Drama",6.4,92
tt0074808,movie,Little Orphan Sammy,Little Orphan Sammy,1,1977,,81,"Adult,Comedy",5.1,71
tt0074830,movie,Sweet Taste of Honey,Luxure,1,1976,,80,"Adult,Drama",5.1,126
tt0074871,movie,Die Marquise von Sade,Die Marquise von Sade,1,1976,,79,"Adult,Drama,Horror",4.8,740
tt0074872,movie,Marriage and Other Four Letter Words,Marriage and Other Four Letter Words,1,1974,,61,"Adult,Drama",6.9,58
tt0074965,movie,The Night of Submission,The Night of Submission,1,1976,,59,"Adult,Drama,Fantasy",3.9,44
tt0075018,movie,The Opening of Misty Beethoven,The Opening of Misty Beethoven,1,1976,,85,"Adult,Comedy,Romance",6.7,1438
tt0075071,movie,Les plaisirs fous,Les plaisirs fous,1,1977,,86,Adult,5.3,96
tt0075195,movie,Sex Rink,Sex Rink,1,1976,,72,Adult,4.5,34
tt0075295,movie,Sweet Cakes,Sweet Cakes,1,1976,,80,"Adult,Comedy",6.5,67
tt0075302,movie,Bedside Sailors,Sømænd på sengekanten,1,1976,,89,"Adult,Comedy,Musical",4.5,116
tt0075317,movie,Teenage Dessert,Teenage Dessert,1,1976,,60,Adult,3.1,20
tt0075324,movie,Through the Looking Glass,Through the Looking Glass,1,1976,,91,"Adult,Horror",6.5,522
tt0075381,movie,Veckända i Stockholm,Veckända i Stockholm,1,1976,,64,"Adult,Drama",5.4,43
tt0075390,movie,Vibrations Sexuelles,Vibrations Sexuelles,1,1977,,75,Adult,4.7,122
tt0075418,movie,White Skin Black Thighs,Weiße Haut und schwarze Schenkel,1,1976,,79,"Adult,Drama",4.1,183
tt0075464,movie,Swinging Partners,Échanges de partenaires,1,1976,,70,"Adult,Romance",6.3,68
tt0075642,movie,Agent 69 in the Sign of Scorpio,Agent 69 Jensen i Skorpionens tegn,1,1977,,89,"Adult,Comedy",5.4,444
tt0075643,movie,Agent 69 Jensen in the Sign of Sagittarius,Agent 69 Jensen i Skyttens tegn,1,1978,,91,"Adult,Comedy",4.8,392
tt0075685,movie,Obsessed,Obsessed,1,1977,,75,"Adult,Crime,Drama",6.4,145
tt0075715,movie,Babyface,Babyface,1,1977,,106,"Adult,Comedy",6.1,439
tt0075725,movie,Bangkok Connection,Bangkok porno,1,1977,,80,"Adult,Comedy",6.2,62
