Title,Year,Genres,Rating,Votes
The Story of the Kelly Gang,1906.0,"Action,Adventure,Biography",6.0,976
The Fairylogue and Radio-Plays,1908.0,"Adventure,Fantasy",5.2,78
Don Juan de Serrallonga,1910.0,"Adventure,Drama",3.5,22
L'inferno,1911.0,"Adventure,Drama,Fantasy",7.0,3739
The Adventures of Kathlyn,1913.0,Adventure,5.5,48
Ivanhoe,1913.0,"Adventure,Drama,Romance",5.5,108
The Prisoner of Zenda,1913.0,Adventure,6.0,52
Robin Hood,1913.0,Adventure,5.6,59
Gli ultimi giorni di Pompei,1913.0,"Adventure,Drama",6.1,645
Who Will Marry Mary?,1913.0,"Action,Adventure",5.2,29
'Round the World in 80 Days,1914.0,Adventure,5.3,42
Across the Pacific,1914.0,"Adventure,Drama,Romance",4.6,29
The Adventures of Andy Clark,1914.0,"Adventure,Comedy",4.6,21
The Adventures of Kitty Cobb,1914.0,Adventure,6.5,23
America,1914.0,Adventure,3.4,23
Beating Back,1914.0,"Adventure,Biography,Western",5.9,26
The Beloved Adventurer,1914.0,Adventure,6.6,24
The Boundary Rider,1914.0,"Adventure,Crime",6.7,19
Burning Daylight: The Adventures of 'Burning Daylight' in Alaska,1914.0,"Adventure,Drama",5.2,25
Cabiria,1914.0,"Adventure,Drama,History",7.1,4128
The Call of the North,1914.0,"Adventure,Drama",5.0,52
The Dishonored Medal,1914.0,Adventure,5.9,47
Fire and Sword,1914.0,Adventure,6.6,25
The Ghost Breaker,1914.0,"Adventure,Horror",4.8,49
"His Majesty, the Scarecrow of Oz",1914.0,"Adventure,Comedy,Family",5.3,553
The Last Egyptian,1914.0,"Adventure,Drama,Romance",5.3,27
The Life of General Villa,1914.0,"Action,Adventure,Biography",6.1,79
The Long Arm of the Law,1914.0,Adventure,6.5,19
The Master Key,1914.0,"Action,Adventure,Drama",5.7,27
The Million Dollar Mystery,1914.0,"Adventure,Mystery,Romance",5.8,44
The Mysterious Man of the Jungle,1914.0,Adventure,6.7,20
The Mystery of the Poison Pool,1914.0,Adventure,2.6,25
The Next in Command,1914.0,Adventure,2.0,23
An Odyssey of the North,1914.0,Adventure,5.8,24
The Patchwork Girl of Oz,1914.0,"Adventure,Comedy,Family",5.4,603
The Perils of Pauline,1914.0,"Action,Adventure,Drama",6.3,1104
Rose of the Rancho,1914.0,"Action,Adventure,Romance",3.2,49
The Trey o' Hearts,1914.0,Adventure,2.5,28
Zudora,1914.0,"Adventure,Mystery",5.2,39
Alice in Wonderland,1915.0,"Adventure,Family,Fantasy",6.1,856
An American Gentleman,1915.0,Adventure,6.0,17
The Arab,1915.0,"Adventure,Drama",5.3,54
Betty in Search of a Thrill,1915.0,"Adventure,Comedy,Drama",6.5,27
The Broken Coin,1915.0,"Adventure,Mystery",6.5,35
The Carpet from Bagdad,1915.0,Adventure,5.1,22
The Diamond from the Sky,1915.0,Adventure,5.5,28
The Dictator,1915.0,"Adventure,Romance",7.8,50
From the Valley of the Missing,1915.0,"Adventure,Crime,Drama",6.7,23
The Galloper,1915.0,"Adventure,Comedy",5.4,22
The Gentleman from Indiana,1915.0,"Adventure,Drama,Romance",5.6,25
Graustark,1915.0,Adventure,1.8,23
How Molly Malone Made Good,1915.0,"Adventure,Comedy",5.4,65
The Iron Strain,1915.0,"Action,Adventure,Drama",4.3,29
The Lamb,1915.0,"Adventure,Comedy,Western",5.6,65
The Last Chapter,1914.0,"Adventure,Romance",5.5,23
The Lone Star Rush,1915.0,"Adventure,Drama",7.2,18
The Lure of the Mask,1915.0,"Adventure,Drama,Romance",1.9,26
Maciste,1915.0,Adventure,5.9,223
A Man and His Mate,1915.0,"Action,Adventure,Crime",5.9,39
The Middleman,1915.0,"Adventure,Crime,Drama",6.6,38
The Millionaire Baby,1915.0,"Adventure,Drama,Mystery",5.0,23
