Title,Year,Genres,Rating,Votes
Ansigttyven I,1910.0,Crime,3.9,21
Zigomar contre Nick Carter,1912.0,"Crime,Thriller",6.0,54
What 80 Million Women Want,1913.0,"Crime,Drama,Romance",4.1,56
Fantômas I: À l'ombre de la guillotine,1913.0,"Crime,Drama",6.9,2612
In the Bishop's Carriage,1913.0,"Crime,Drama",5.6,27
Fantômas II: Juve contre Fantômas,1913.0,"Crime,Drama",6.9,1774
Macbeth,1913.0,"Crime,Drama",4.3,13
Le mort qui tue,1913.0,"Crime,Drama,Mystery",6.9,1413
Traffic in Souls,1913.0,"Crime,Drama",5.9,760
Wo ist Coletti?,1913.0,"Comedy,Crime",6.3,51
"The $5,000,000 Counterfeiting Plot",1914.0,"Crime,Thriller",6.8,29
On His Majesty's Service,1914.0,"Crime,Drama",6.2,47
Alone in New York,1914.0,"Crime,Drama",6.6,17
The Avenging Conscience: or 'Thou Shalt Not Kill',1914.0,"Crime,Drama,Horror",6.4,1504
The Boundary Rider,1914.0,"Adventure,Crime",6.7,19
L'enfant de Paris,1913.0,"Crime,Drama",7.2,483
Fantômas contre Fantômas,1914.0,"Crime,Drama",6.8,1494
Le faux magistrat,1914.0,"Crime,Drama",6.7,1262
Der Hund von Baskerville,1914.0,"Crime,Horror,Mystery",5.6,167
The Master Mind,1914.0,"Crime,Drama",5.5,21
The Nightingale,1914.0,"Crime,Drama",6.9,28
One Wonderful Night,1914.0,"Crime,Drama",7.0,17
Over Niagara Falls,1914.0,"Crime,Drama",3.0,16
Ready Money,1914.0,"Comedy,Crime,Drama",7.0,16
Salomy Jane,1914.0,"Crime,Drama,Western",5.9,80
"The World, the Flesh and the Devil",1914.0,"Crime,Drama",6.8,31
After Five,1915.0,"Comedy,Crime,Thriller",4.8,26
Alias Jimmy Valentine,1915.0,"Crime,Drama",6.6,294
Das dunkle Schloß,1915.0,"Crime,Horror,Mystery",3.3,50
From the Valley of the Missing,1915.0,"Adventure,Crime,Drama",6.7,23
"Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer",1916.0,"Crime,Horror,Mystery",4.5,41
"Der Hund von Baskerville, 4. Teil",1916.0,"Crime,Horror,Mystery",3.8,44
Hævnens nat,1916.0,"Crime,Drama,Horror",6.7,443
Kindling,1915.0,"Crime,Drama",6.6,33
A London Flat Mystery,1915.0,"Crime,Drama",6.4,6
A Man and His Mate,1915.0,"Action,Adventure,Crime",5.9,39
