Title,Year,Genres,Rating,Votes
The Corbett-Fitzsimmons Fight,1897.0,"Documentary,News,Sport",5.2,551
Life of Villa,1912.0,"Documentary,War",7.8,33
Dr. Mawson in the Antarctic,1913.0,Documentary,5.7,28
The Adventures of Buffalo Bill,1917.0,"Documentary,Western",6.4,27
"Joliet Prison, Joliet, Ill.",1914.0,Documentary,5.8,10
Native Life in the Philippines,1914.0,Documentary,5.0,10
"Palestine, the Jewish Return from Exile; Or, Life in the Holy Land",1914.0,Documentary,8.2,11
Thirty Leagues Under the Sea,1914.0,Documentary,5.7,21
The War of the World,1914.0,Documentary,7.0,13
1915 World's Championship Series,1915.0,"Documentary,Sport",7.8,21
The History of the World's Greatest War,1915.0,Documentary,7.1,15
Japan,1915.0,Documentary,5.4,11
On the Firing Line with the Germans,1915.0,"Documentary,War",6.7,27
The Battle of the Somme,1916.0,"Documentary,War",6.6,478
A Trip Through China,1917.0,Documentary,6.5,35
El último malón,1917.0,"Documentary,History,War",6.5,112
America's Answer,1918.0,"Documentary,War",4.6,13
Godovshchina revolyutsii,1918.0,Documentary,6.8,181
Der magische Gürtel,1919.0,"Documentary,War",6.6,64
Typical Mexican Aspects,1919.0,Documentary,7.7,13
Shipwrecked Among Cannibals,1920.0,"Adventure,Documentary",6.8,13
Pearls and Savages,1921.0,Documentary,5.8,23
Das Wunder des Schneeschuhs,1920.0,Documentary,6.8,30
Häxan,1922.0,"Documentary,Fantasy,Horror",7.6,17832
Im Kampf mit dem Berge - 1. Teil: In Sturm und Eis - Eine Alpensymphonie in Bildern,1921.0,Documentary,7.1,65
Istoriya grazhdanskoy voyny,1921.0,Documentary,6.6,81
Nanook of the North,1922.0,Documentary,7.6,13862
Wonders of the Sea,1922.0,Documentary,6.9,13
Med Roald Amundsens Nordpolsekspedition til første vinterkvarter,1923.0,Documentary,6.6,7
Kinoglaz,1924.0,Documentary,6.9,1253
La machine à refaire la vie,1924.0,Documentary,6.0,10
Grass: A Nation's Battle for Life,1925.0,Documentary,7.7,1244
Roald Amundsen - Ellsworths flyveekspedition 1925,1925.0,"Documentary,Drama",6.7,12
Luftskibet 'Norge's flugt over polhavet,1926.0,Documentary,7.1,7
Med 'Maud' over Polhavet,1926.0,Documentary,5.9,11
Moana,1926.0,Documentary,6.8,779
"Shagay, sovet!",1926.0,Documentary,6.5,262
Shestaya chast mira,1926.0,Documentary,7.2,627
Berlin - Die Sinfonie der Großstadt,1927.0,Documentary,7.6,4932
Chang: A Drama of the Wilderness,1927.0,"Adventure,Documentary,Drama",6.8,1183
Moskva,1927.0,Documentary,7.4,67
Padenie dinastii Romanovykh,1927.0,"Documentary,History",6.4,358
Primitive Love,1927.0,Documentary,6.0,13
La terrible lección,1927.0,"Documentary,Drama",6.0,11
Voyage au Congo,1927.0,Documentary,6.8,58
Odinnadtsatyy,1928.0,Documentary,6.9,395
Shanhkayskiy dokument,1928.0,Documentary,6.3,38
Simba: The King of the Beasts,1928.0,Documentary,6.3,60
Jim Shvante (marili svanets),1930.0,Documentary,7.5,941
Chelovek s kino-apparatom,1929.0,Documentary,8.3,28983
Drifters,1929.0,Documentary,6.6,500
"Nazaré, Praia de Pescadores",1929.0,Documentary,6.1,35
Selvigs Norgesfilm,1929.0,"Documentary,History,Sport",7.4,6
Turksib,1929.0,Documentary,7.2,477
With Byrd at the South Pole,1930.0,"Adventure,Documentary",6.9,422
Entuziazm (Simfoniya Donbassa),1930.0,Documentary,6.8,1102
Around the World with Douglas Fairbanks,1931.0,Documentary,5.6,63
The Forgotten Frontier,1931.0,"Documentary,Drama",5.6,95
L'armata azzurra,1932.0,"Adventure,Documentary",7.9,9
Igloo,1932.0,"Documentary,Drama",8.3,30
Pesn o geroyakh,1932.0,Documentary,6.7,112
Bring 'Em Back Alive,1932.0,"Adventure,Documentary",6.5,106
Eisenstein in Mexico,1933.0,Documentary,5.9,53
India Speaks,1933.0,"Documentary,Drama",5.4,8
Zem spieva,1933.0,Documentary,7.3,73
Man of Aran,1934.0,"Documentary,Drama",7.1,2392
Tri pesni o Lenine,1934.0,Documentary,6.5,907
Triumph des Willens,1935.0,"Documentary,History",7.1,18871
Avodah,1935.0,"Documentary,Music",6.0,47
La ciudad y el campo,1935.0,Documentary,5.2,13
Fang and Claw,1935.0,"Adventure,Documentary",7.5,32
Lest We Forget,1935.0,"Documentary,War",6.0,27
This Naked Age,1932.0,Documentary,5.2,97
Borneo,1937.0,Documentary,6.3,20
Fury Over Spain,1937.0,"Documentary,War",7.6,28
Kolybelnaya,1937.0,Documentary,6.5,97
Pamyati Sergo Ordzhonikidze,1937.0,Documentary,5.4,43
The Spanish Earth,1937.0,"Documentary,War",6.5,892
The 400 Million,1939.0,"Documentary,History,War",6.7,214
Amanecer sobre España,1938.0,"Documentary,War",6.3,11
El derrumbamiento del Ejército Rojo,1939.0,"Documentary,War",1.6,10
España heroica,1938.0,"Documentary,War",5.6,7
Olympia 1. Teil - Fest der Völker,1938.0,"Documentary,Sport",7.7,5496
Olympia 2. Teil - Fest der Schönheit,1938.0,"Documentary,Sport",7.6,4519
Return to Life,1938.0,Documentary,6.4,21
Tri geroini,1938.0,Documentary,4.3,22
Romancero marroquí,1939.0,"Documentary,War",1.3,18
Ispaniya,1939.0,Documentary,6.5,43
Mein Kampf - My Crimes,1940.0,"Biography,Documentary,Drama",5.5,88
Liniya Mannergeyma,1940.0,"Documentary,War",6.9,18
Man och kvinna,1939.0,"Documentary,Drama",6.5,58
Osvobozhdeniye,1940.0,Documentary,5.3,87
Suvorov,1941.0,"Biography,Documentary,Drama",6.8,237
Time in the Sun,1940.0,Documentary,6.1,96
The Forgotten Village,1941.0,"Documentary,Drama",6.7,103
Jungle Cavalcade,1941.0,"Adventure,Documentary",6.6,64
Kino-kontsert 1941,1943.0,"Documentary,Music",6.2,13
Samarang,1933.0,"Action,Documentary",4.5,16
Coastal Command,1943.0,"Documentary,War",6.9,76
