Title,Year,Genres,Rating,Votes
The Life of Moses,1909,"Biography,Drama,Family",5.5,65
"His Majesty, the Scarecrow of Oz",1914,"Adventure,Comedy,Family",5.3,553
The Patchwork Girl of Oz,1914,"Adventure,Comedy,Family",5.4,603
Alice in Wonderland,1915,"Adventure,Family,Fantasy",6.1,856
The Babes in the Woods,1917,"Drama,Family,Fantasy",5.7,43
The Little Pirate,1917,"Adventure,Family",4.3,26
The Poor Little Rich Girl,1917,"Comedy,Drama,Family",6.7,1595
The Blue Bird,1918,"Family,Fantasy",6.9,1068
Little Women,1918,"Drama,Family,Romance",6.5,61
Pollyanna,1920,"Comedy,Drama,Family",6.4,539
Amor de Perdição,1921,"Drama,Family,Romance",6.4,15
The Kid,1921,"Comedy,Drama,Family",8.2,139990
The Silent Call,1921,"Adventure,Family",4.7,26
The Three Musketeers,1921,"Action,Adventure,Family",6.9,1200
Anderssonskans Kalle,1922,"Comedy,Drama,Family",4.9,24
Der var engang,1922,"Drama,Family,Fantasy",6.3,542
Grandma's Boy,1922,"Comedy,Family",7.0,2136
Robin Hood,1922,"Adventure,Family,Romance",7.0,2562
The Toll of the Sea,1922,"Drama,Family,Fantasy",6.6,961
Anderssonskans Kalle på nya upptåg,1923,"Comedy,Drama,Family",5.2,12
"Robin Hood, Jr.",1923,"Adventure,Family",2.5,31
Why Worry?,1923,"Adventure,Comedy,Family",7.3,2132
A Boy of Flanders,1924,"Drama,Family",8.3,31
Captain January,1924,"Drama,Family",7.0,265
Find Your Man,1924,"Action,Drama,Family",5.0,43
The Lighthouse by the Sea,1924,"Drama,Family",6.4,72
Peter Pan,1924,"Adventure,Family,Fantasy",7.1,1370
The Thief of Bagdad,1924,"Adventure,Family,Fantasy",7.7,7284
Below the Line,1925,"Action,Drama,Family",6.5,28
Clash of the Wolves,1925,"Adventure,Family,Romance",6.5,452
The Freshman,1925,"Comedy,Family,Romance",7.5,6278
The Little Colonel,1935,"Comedy,Family,Musical",7.0,1963
The Rag Man,1925,"Comedy,Drama,Family",7.0,415
White Fang,1925,"Adventure,Family,Western",6.1,44
The Wizard of Oz,1925,"Adventure,Comedy,Family",4.9,1840
A Hero of the Big Snows,1926,"Action,Adventure,Family",3.8,34
A Kiss for Cinderella,1925,"Drama,Family,Fantasy",7.0,107
The Night Cry,1926,"Drama,Family",7.0,57
The Kid Brother,1927,"Comedy,Drama,Family",7.6,5002
The King of Kings,1927,"Biography,Drama,Family",7.3,2510
The Cameraman,1928,"Comedy,Drama,Family",8.0,13706
The Circus,1928,"Comedy,Family,Romance",8.1,37109
Harold Teen,1928,"Comedy,Family,Romance",6.1,29
Land of the Silver Fox,1928,"Action,Adventure,Family",5.6,38
Rinty of the Desert,1928,Family,6.2,18
Speedy,1928,"Action,Comedy,Family",7.6,4507
The Million Dollar Collar,1929,"Drama,Family",6.4,16
Animal Crackers,1930,"Comedy,Family,Musical",7.4,15608
Feet First,1930,"Adventure,Comedy,Family",6.7,1235
The Lone Defender,1930,"Family,Western",4.8,110
The Man Hunter,1930,"Action,Adventure,Family",4.9,43
On the Border,1930,"Drama,Family,Western",7.7,25
One Family,1930,"Adventure,Family,Fantasy",5.5,20
Rough Waters,1930,"Drama,Family",7.5,18
Alice in Wonderland,1931,"Family,Fantasy",4.2,215
The Champ,1931,"Drama,Family,Sport",7.2,3768
A Connecticut Yankee,1931,"Comedy,Family,Fantasy",6.3,462
Emil und die Detektive,1931,"Adventure,Drama,Family",7.2,741
Huckleberry Finn,1931,"Comedy,Family",6.3,134
The Lightning Warrior,1931,"Drama,Family,Western",6.4,114
Monkey Business,1931,"Comedy,Family,Musical",7.4,14542
Skippy,1931,"Comedy,Drama,Family",6.3,1082
Sooky,1931,"Adventure,Drama,Family",5.2,69
