Title,Year,Genres,Rating,Votes
Der Student von Prag,1913.0,"Drama,Fantasy,Horror",6.4,2533
The Avenging Conscience: or 'Thou Shalt Not Kill',1914.0,"Crime,Drama,Horror",6.4,1504
The Ghost Breaker,1914.0,"Adventure,Horror",4.8,49
Der Golem,1914.0,Horror,6.7,1280
Der Hund von Baskerville,1914.0,"Crime,Horror,Mystery",5.6,167
Ein seltsamer Fall,1914.0,Horror,5.2,20
Das dunkle Schloß,1915.0,"Crime,Horror,Mystery",3.3,50
"Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer",1916.0,"Crime,Horror,Mystery",4.5,41
"Der Hund von Baskerville, 4. Teil",1916.0,"Crime,Horror,Mystery",3.8,44
Hævnens nat,1916.0,"Crime,Drama,Horror",6.7,443
Life Without Soul,1915.0,"Drama,Horror,Sci-Fi",6.3,68
Mortmain,1915.0,"Drama,Horror",4.3,29
Posle smerti,1915.0,"Drama,Horror",6.8,1074
Rapsodia satanica,1917.0,"Drama,Fantasy,Horror",6.7,923
Zhenshchina vampir,1915.0,Horror,7.0,42
Black Orchids,1917.0,"Drama,Horror",5.2,28
The Crimson Stain Mystery,1916.0,"Horror,Mystery",6.3,28
"Homunculus, 1. Teil",1916.0,"Horror,Sci-Fi",5.9,125
The Mysteries of Myra,1916.0,"Drama,Fantasy,Horror",6.2,35
Nächte des Grauens,1917.0,"Drama,Horror",6.1,27
Pikovaya dama,1916.0,"Drama,Fantasy,Horror",6.6,888
The Brand of Satan,1917.0,Horror,4.2,22
Furcht,1917.0,Horror,6.1,248
Hilde Warren und der Tod,1917.0,Horror,6.0,179
Malombra,1917.0,"Drama,Horror,Mystery",5.9,157
"Alraune, die Henkerstochter, genannt die rote Hanne",1918.0,"Horror,Sci-Fi",5.9,33
Alraune,1919.0,"Horror,Sci-Fi",5.2,69
Die Augen der Mumie Ma,1918.0,"Drama,Horror",5.4,772
The Bells,1918.0,"Crime,Drama,Horror",5.0,22
The Craving,1918.0,"Drama,Horror",4.9,126
Az élet királya,1918.0,"Drama,Horror",6.5,22
Creaking Stairs,1919.0,"Drama,Horror,Mystery",5.5,23
The Haunted Bedroom,1919.0,"Drama,Horror",6.5,36
J'accuse,1919.0,"Drama,Horror,War",7.7,2191
