Title,Year,Genres,Rating,Votes
Miss Jerry,1894.0,Romance,5.3,222
La dame aux camélias,1912.0,"Drama,Romance",5.3,45
Amor fatal,1911.0,"Drama,Romance",7.5,24
Anny - en gatepiges roman,1912.0,"Drama,Romance",4.6,17
Den glade løjtnant,1912.0,Romance,3.8,11
Madame DuBarry,1919.0,"Biography,Drama,Romance",6.6,1062
Az utolsó bohém,1913.0,"Drama,Romance",4.4,52
What 80 Million Women Want,1913.0,"Crime,Drama,Romance",4.1,56
Ivanhoe,1913.0,"Adventure,Drama,Romance",5.5,108
Tess of the D'Urbervilles,1913.0,"Drama,Romance",5.5,29
Across the Pacific,1914.0,"Adventure,Drama,Romance",4.6,29
Alexandra,1914.0,"Drama,Romance",5.2,16
Cameo Kirby,1914.0,"Action,Drama,Romance",6.5,18
The Crucible,1914.0,"Drama,Romance",6.0,23
The Great Leap: Until Death Do Us Part,1914.0,"Drama,Romance",6.3,21
The Last Egyptian,1914.0,"Adventure,Drama,Romance",5.3,27
Manon Lescaut,1914.0,"Drama,Romance",4.7,21
Memories,1914.0,"Drama,Romance",6.2,17
The Million Dollar Mystery,1914.0,"Adventure,Mystery,Romance",5.8,44
Otello,1914.0,"Drama,Romance",5.3,16
Richelieu,1914.0,"Drama,History,Romance",5.5,22
Rose of the Rancho,1914.0,"Action,Adventure,Romance",3.2,49
The Squaw Man,1914.0,"Action,Drama,Romance",5.6,1084
Such a Little Queen,1914.0,"Comedy,Drama,Romance",5.0,21
Wildflower,1914.0,"Drama,Romance",6.6,20
The Wishing Ring: An Idyll of Old England,1914.0,"Comedy,Drama,Romance",6.4,369
The Woman in Black,1914.0,"Drama,Romance",5.4,55
The Wrath of the Gods,1914.0,"Drama,Romance",5.8,218
Anna Karenina,1915.0,"Drama,Romance",4.0,25
The Captive,1915.0,"Drama,Romance,War",6.4,175
The Cheat,1915.0,"Drama,Romance",6.5,2925
David Harum,1915.0,"Comedy,Drama,Romance",5.7,69
Destruction,1915.0,"Drama,Romance",7.6,28
The Dictator,1915.0,"Adventure,Romance",7.8,50
Double Trouble,1915.0,"Comedy,Romance",5.2,159
The Gentleman from Indiana,1915.0,"Adventure,Drama,Romance",5.6,25
The Girl of the Golden West,1915.0,"Romance,Western",5.3,83
The Goddess,1915.0,"Drama,Romance",5.6,22
The Goose Girl,1915.0,Romance,6.2,23
Hearts in Exile,1915.0,"Drama,History,Romance",5.5,77
Kreutzer Sonata,1915.0,"Drama,Romance",6.6,28
The Last Chapter,1914.0,"Adventure,Romance",5.5,23
The Lure of the Mask,1915.0,"Adventure,Drama,Romance",1.9,26
Neal of the Navy,1915.0,"Adventure,Romance",2.2,29
Old Heidelberg,1915.0,"Drama,Romance",6.1,51
On the Night Stage,1915.0,"Adventure,Romance,Western",5.6,88
The Plunderer,1915.0,"Action,Adventure,Romance",6.7,32
The Pretty Sister of Jose,1915.0,"Drama,Romance",7.0,20
Princess Romanoff,1915.0,"Adventure,Drama,Romance",5.4,28
The Rosary,1915.0,"Drama,Mystery,Romance",7.0,20
The Seven Sisters,1915.0,"Comedy,Romance",7.0,18
The Silent Voice,1915.0,"Drama,Romance",5.8,18
The Soul of Broadway,1915.0,"Crime,Drama,Romance",6.2,19
The Stolen Voice,1915.0,"Drama,Romance",7.2,35
Temptation,1915.0,"Drama,Romance",5.8,25
The Valley of Decision,1916.0,"Drama,Romance",6.3,26
The White Pearl,1915.0,"Adventure,Drama,Romance",2.5,28
Young Romance,1915.0,"Comedy,Romance",5.8,229
The Americano,1916.0,"Adventure,Comedy,Romance",6.0,95
Ben Blair,1916.0,"Action,Drama,Romance",5.7,32
La vie de Bohème,1916.0,Romance,7.1,33
Die Börsenkönigin,1918.0,"Drama,Romance",6.0,86
The Dumb Girl of Portici,1916.0,"Drama,History,Romance",6.4,280
The Gilded Cage,1916.0,"Drama,Romance",5.2,18
The Good Bad-Man,1916.0,"Romance,Western",6.6,303
The Grasp of Greed,1916.0,"Drama,Romance",6.6,20
Gretchen the Greenhorn,1916.0,"Crime,Drama,Romance",6.4,544
Hell's Hinges,1916.0,"Romance,Western",6.7,1126
Hoodoo Ann,1916.0,"Comedy,Drama,Romance",5.9,956
The Isle of Life,1916.0,"Adventure,Romance",6.9,22
Manhattan Madness,1916.0,"Action,Comedy,Romance",6.0,110
The Matrimaniac,1916.0,"Comedy,Romance",6.4,656
Nearly a King,1916.0,"Comedy,Romance",7.9,44
One Day,1916.0,"Adventure,Drama,Romance",6.3,24
The Prince of Graustark,1916.0,"Drama,Romance",4.9,20
The Return of Draw Egan,1916.0,"Action,Adventure,Romance",6.2,225
Romeo and Juliet,1916.0,"Drama,Romance",7.1,33
The Secret Kingdom,1917.0,"Adventure,Romance,Thriller",5.4,21
Snow White,1916.0,"Fantasy,Romance",6.3,468
Sold for Marriage,1916.0,"Drama,Romance",6.4,118
The Suspect,1916.0,"Drama,Romance",7.2,18
Suzanne,1916.0,"Drama,Romance",5.3,15
Das Tagebuch des Dr. Hart,1918.0,"Drama,Romance",5.8,42
Das wandernde Licht,1916.0,"Drama,Mystery,Romance",4.9,16
War Brides,1916.0,"Drama,Romance,War",6.0,30
Betsy Ross,1917.0,"Biography,Drama,Romance",5.1,87
Betsy's Burglar,1917.0,"Comedy,Romance",5.5,57
Camille,1917.0,"Drama,Romance",6.2,24
The Dancer's Peril,1917.0,Romance,5.9,24
Down to Earth,1917.0,"Comedy,Romance",6.2,88
The Man from Painted Post,1917.0,"Action,Comedy,Romance",6.4,60
The Gun Fighter,1917.0,"Action,Romance,Western",5.8,31
The Hidden Spring,1917.0,"Adventure,Romance",6.4,22
The Little American,1917.0,"Drama,Romance,War",6.2,752
A Man's Man,1917.0,"Adventure,Romance",6.1,26
One Hour,1917.0,"Adventure,Romance",1.8,24
The Pride of the Clan,1917.0,"Drama,Romance",6.2,133
"Raffles, the Amateur Cracksman",1917.0,"Adventure,Crime,Romance",6.4,197
Runaway Romany,1917.0,"Drama,Romance",8.1,98
Sapho,1917.0,"Drama,Romance",4.6,18
A Tale of Two Cities,1917.0,"Drama,History,Romance",6.1,168
Tavasz a télben,1918.0,Romance,4.1,29
