Title,Year,Genres,Rating,Votes
What Happened to Mary,1912,"Action,Drama,Thriller",6.2,36
Zigomar contre Nick Carter,1912,"Crime,Thriller",6.0,54
Der Andere,1913,"Drama,Thriller",5.4,126
"The $5,000,000 Counterfeiting Plot",1914,"Crime,Thriller",6.8,29
After Five,1915,"Comedy,Crime,Thriller",4.8,26
The Sable Lorcha,1915,"Adventure,Crime,Thriller",5.8,25
The Mutiny of the Bounty,1916,"Drama,Thriller",7.7,35
The Secret Kingdom,1917,"Adventure,Romance,Thriller",5.4,21
Das Bildnis des Dorian Gray,1917,"Fantasy,Thriller",6.4,36
The Ghost House,1917,"Comedy,Thriller",7.2,30
Seven Keys to Baldpate,1917,"Comedy,Mystery,Thriller",6.1,130
At the Mercy of Men,1918,"Drama,Thriller",7.0,17
Beans,1918,"Comedy,Thriller",6.6,23
O Homem dos Olhos Tortos,1918,"Crime,Thriller",5.6,24
The Hun Within,1918,"Drama,Thriller,War",6.4,21
The Knife,1918,"Drama,Thriller",5.3,17
Das Tagebuch einer Verlorenen,1918,"Drama,Thriller",7.3,26
A 111-es,1920,"Drama,Romance,Thriller",4.2,19
El automóvil gris,1919,"Action,Crime,Thriller",6.9,245
Barrabas,1919,"Crime,Thriller",7.6,119
Behind the Door,1919,"Drama,Thriller,War",7.2,408
Der Herr der Liebe,1919,"Romance,Thriller",5.7,73
Das Cabinet des Dr. Caligari,1920,"Horror,Mystery,Thriller",8.0,72969
The Red Glove,1919,"Action,Thriller",4.2,19
The Trail of the Octopus,1919,"Action,Mystery,Thriller",6.9,46
Number 17,1920,"Adventure,Thriller",3.0,24
Von morgens bis mitternachts,1920,"Drama,Horror,Thriller",6.9,658
Outside the Law,1920,"Crime,Romance,Thriller",6.5,791
Across the Continent,1922,"Action,Sport,Thriller",5.5,25
"Dr. Mabuse, der Spieler",1922,"Crime,Mystery,Thriller",7.8,9492
Foolish Wives,1922,"Drama,Thriller",7.0,4181
The Pointing Finger,1922,"Adventure,Crime,Thriller",5.2,11
The Haunted Valley,1923,"Adventure,Mystery,Thriller",6.8,32
Human Wreckage,1923,"Crime,Drama,Thriller",6.9,25
Our Hospitality,1923,"Comedy,Romance,Thriller",7.7,12913
Safety Last!,1923,"Action,Comedy,Thriller",8.1,23760
The Fast Express,1924,"Action,Drama,Thriller",7.6,16
Body and Soul,1925,"Crime,Drama,Thriller",6.2,1247
Bronenosets Potyomkin,1925,"Drama,History,Thriller",7.9,62994
Greed,1924,"Drama,Thriller,Western",8.0,11172
Seven Keys to Baldpate,1925,"Comedy,Mystery,Thriller",5.5,19
The Bat,1926,"Mystery,Thriller",6.5,957
Kurutta ichipêji,1926,"Drama,Horror,Thriller",7.3,4887
Midnight Faces,1926,"Horror,Thriller",5.2,158
Downhill,1927,"Adventure,Drama,Thriller",6.0,3252
Easy Virtue,1928,"Drama,Romance,Thriller",5.4,3176
